serial_number,year,month,day,facility_id,facility_name,facility_zip,score,grade,service_description,category,size,riskLevel,owner_id,owner_name
DALCMA750,2018,1,16,FA0038847,MARK'S LIQUOR,90017,95,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0019217,"KIM, CHYL GON"
DALCPBNSG,2017,9,15,FA0066305,MANA BURGERS,90018,99,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0014239,GUERRERO JOSE E.
DALCPW9O0,2017,7,13,FA0176988,LA JEREZANA MINI MART CORP,90012,96,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",LOW RISK,OW0182972,LA JEREZANA MINI MART CORP
DALCTF0I9,2016,4,6,FA0020333,KRISPY KREME DOUGHNUTS,90008,98,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,MODERATE RISK,OW0014014,GREAT CIRCLE FAMILY FOOD LLC
DALCUEGHN,2017,7,6,FA0171943,SAZON K-TRACHO,90037,91,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0178998,SAZON K-TRACHO
DALCVCZXA,2016,8,17,FA0030253,RED OVEN BAKERY AND DELI,90016,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0036640,TSEGAY TIRHAS
DALCYCTPE,2016,2,13,FA0013849,FOOD 4 LESS #370,90032,95,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",HIGH RISK,OW0012108,"FOOD 4 LESS, INC."
DALD2VUGG,2016,3,17,FA0064995,L A WHITTIER BAKERY,90022,80,B,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0001641,"ACABAL, SALVADOR"
DALD3HXVZ,2018,3,30,FA0165657,FERNANDO'S MINI MARKET,90037,97,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0128900,DEMETRIO PEREZ
DALDIOII1,2016,7,27,FA0224962,7-ELEVEN STORE 37237A,90037,97,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",MODERATE RISK,OW0229430,"KINGANDFIG, INC"
DALDKZZEO,2016,10,4,FA0022750,LOS ANGELES CITY COLLEGE BO,90029,97,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0020533,LOS ANGELES CITY COLLEGE
DALDMAE9V,2016,12,2,FA0025647,MORENITA MARKET,90001,82,B,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",HIGH RISK,OW0012044,"FLORES, ADELFO ROMERO"
DALDOEOKC,2016,4,6,FA0024639,MERCADO DON JUAN #2,90001,90,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",HIGH RISK,OW0037373,"VASQUEZ, JUAN BALDO"
DALDOPUKX,2017,9,14,FA0067904,OLIVER CAFE & LOUNGE,90025,93,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,HIGH RISK,OW0011180,"EQUINOX FITNESS SEPULVEDA, I"
DALDQQNSE,2017,3,16,FA0242742,D'AMORE CAFE,90034,98,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,MODERATE RISK,OW0238303,D'AMORE CAFE VENICE LLC
DALDS1ILW,2017,6,21,FA0222252,LA MEXICANA DISCOUNT,90001,99,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",LOW RISK,OW0227129,A & J DISCOUNT INC
DALDXCLQG,2017,1,13,FA0239234,TIKI FISH,90034,97,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0235566,DA FAT FISH LLC
DALDZMT0T,2017,5,10,FA0046141,RED RIBBON BAKESHOP,90004,96,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",MODERATE RISK,OW0029843,RED RIBBON BAKE SHOP INC
DALE025VD,2016,3,9,FA0061343,EL BRONCO TAQUERIA,90019,93,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0029642,"RAMOS, ENRIQUE"
DALE2X9XN,2017,5,4,FA0177786,MAYAN MARKET,90044-2723,92,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0183684,PESCES RETAIL INC
DALEAAT48,2017,10,18,FA0024330,G&M OIL #99,90049,98,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0012557,"G&M OIL COMPANY, INC."
DALEALL38,2018,2,6,FA0009123,CHURCH'S FRIED CHICEKN #147,90018,97,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0004505,"BEST AMERICAN HOSPITALITY, INC."
DALEBPQYR,2017,4,11,FA0048860,SOLEIL,90024,93,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0002002,"ALARIE, LUC ROGER"
DALED0DUX,2016,3,4,FA0029500,IRIS MINI MART,90014,97,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0006445,"CASTANEDA, JUAN DE JESUS"
DALED1RRO,2017,8,29,FA0222478,OLIGARC VINE & SPIRITS,90028,90,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0227324,DVIN CORPORATION
DALEDFO4S,2017,7,31,FA0034040,SPUDNUTS DONUTS,90007,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0038070,"VIRYA, OK ET AL"
DALEHXXQX,2016,5,24,FA0021841,LEMONADE,90089,99,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0037014,USC HOSPITALITY SERVICES
DALEM5NRN,2018,2,5,FA0069864,R-RANCH MARKET,90016,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0014531,HAFSA CORPORATION
DALENOOO3,2017,3,6,FA0040584,MIDWAY LIQUOR MARKET,90019,92,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0024454,"MIKAIL, DAWIT"
DALENPUMX,2017,2,16,FA0225196,IT'S BOBA TIME,90006,96,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",MODERATE RISK,OW0229616,CM TIME INC
DALEROL4Q,2017,5,2,FA0047854,SAWTELLE TEMPURA HOUSE,90025,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0002827,"ANZAI, NOBUO MIHOKO"
DALET0ONM,2016,2,25,FA0061676,ELITE FISH MARKET,90035,98,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",HIGH RISK,OW0028626,"PIRAN, BENNY"
DALETH10X,2016,3,24,FA0010446,BOTANICA SALVADOR #1,90058,96,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0023251,JOSE SALVADOR MANZANO
DALEYP0FC,2017,3,20,FA0042355,NEW INDIA'S OVEN,90025,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0025866,NEW INDIA'S OVEN INC
DALEZCQVJ,2017,10,31,FA0056781,7-ELEVEN #17304D,90036,93,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",MODERATE RISK,OW0013238,"GILL, HARJEET S."
DALEZMJSH,2016,10,4,FA0164928,QIN WEST CHINESE CUISINE,90024,75,C,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0128229,XUEMIN KOU
DALEZYM4P,2016,9,29,FA0026699,NUMERO UNO PIZZA,90016,93,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0012359,FRESENBET-ZAMACH INC
DALF0G0IO,2017,9,21,FA0003395,4 AMIGOS,90044,85,B,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0001831,AGUILERA RAYMUNDO
DALF0ZPOE,2016,12,6,FA0171826,HONG KONG EXPRESS,90015,80,B,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0178886,XI LIU
DALF2PO45,2017,7,11,FA0034234,STARBUCKS COFFEE #5995,90047,93,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,LOW RISK,OW0033938,STARBUCKS COFFEE CORPORATION
DALF9EEP1,2017,10,12,FA0225873,HARRY'S LIQUOR,90061,99,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0230089,"BJ INVESTMENT, INC."
DALF9RJGW,2016,8,3,FA0224630,GENESIS MINI MARKET $1 & UP,90037-3531,96,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0229154,LUIS ALFREDO HERNANDEZ
DALFBY950,2016,5,16,FA0041666,NEW VERNON RANCHO MARKET,90058,91,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",HIGH RISK,OW0019337,"KIM, JOONG CHIL"
DALFD1FG3,2017,1,31,FA0158210,KNS MARKET,90026,95,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0123300,"KADIR, NAFIZ"
DALFDEU1I,2017,5,9,FA0052917,TOP VALUE MARKET,90022,92,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",HIGH RISK,OW0020102,KV MART CO
DALFDR6S0,2017,1,31,FA0165836,CORN GRILL,90024,96,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0012370,FRESH CORN GRILL INC
DALFEEXYX,2016,8,10,FA0034956,LA PRIMERA MEAT MARKET,90063,93,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",HIGH RISK,OW0030604,"ROJAS, SANTIAGO"
DALFICGZ7,2017,5,30,FA0050363,SUPER PAN BAKERY,90029,80,B,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0028252,"PEREZ, ELVIA CONSUELO"
DALFJ90DU,2016,9,9,FA0006780,C AND K IMPORTING CO,90006,98,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",MODERATE RISK,OW0007935,C AND K IMPORTING CO INC
DALFMJRYV,2016,5,4,FA0171882,BEST MARKET,90013,98,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0178944,MAY PARK
DALFOQ30J,2018,2,13,FA0255243,EL MONTOSO MINI MARKET,90011,97,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0248264,EL MONTOSO MINI MARKET
DALFPOXPZ,2017,8,21,FA0241438,JAMBA JUICE #399,90025,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0208261,BREA JUICE COMPANY LLC
DALFQ123O,2016,6,29,FA0061302,EDUARDOS BORDER GRILL,90025,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0014113,"GREENWALD,EDWARD"
DALFRTN0E,2017,3,16,FA0144275,NEKTER JUICE BAR,90024-3408,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0025789,NEKTAR JUICE BAR INC.
DALFW5J8Q,2018,1,11,FA0037805,MARTHA'S MINI-MARKET,90011,96,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",LOW RISK,OW0017675,"JIMENEZ, MARTHA"
DALFW703H,2017,7,18,FA0160747,FATBURGER,90024,85,B,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0125694,ABDULALI MITHANI
DALFWITTJ,2016,7,27,FA0159448,FARMERS MARKET TO GO,90045,99,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0229162,"DN DAKOTA / JME LAX 8589 FARMERS, LLC"
DALFXDQYP,2017,4,4,FA0032492,K.T. LIQUOR MARKET,90001,99,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0039672,"YI, SOON AE"
DALFY9CZL,2016,9,19,FA0068016,ORTIZ PRODUCE,90016,93,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",HIGH RISK,OW0009531,"DBI HOUSING, LLC"
DALG2ZTX9,2016,7,27,FA0054114,WALGREENS #07016,90018,98,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0038319,WALGREENS CO.
DALG6J86Y,2016,7,21,FA0053921,VONS MARKET #2100,90034,94,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",HIGH RISK,OW0038181,THE VONS COMPANIES INC.
DALGCBUNP,2017,7,24,FA0022063,LIFE FOOD ORGANIC,90028,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0021735,"LIFEFOOD MOSAIC, INC."
DALGCQWRR,2018,3,1,FA0150038,EMMANUEL BAPTIST RESCUE MISS,90013-2108,95,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,MODERATE RISK,OW0115705,EMMANUEL BAPTIST MISSION
DALGG0237,2016,6,29,FA0040577,MID CITY ARCO,90023,97,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",MODERATE RISK,OW0005122,"BOUTROS, NADA ET AL"
DALGGGIKI,2016,4,20,FA0030530,RICHIE'S CAFE & GRILL,90012,92,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0016941,IN 4 DEVELOPMENT LLC
DALGIXLW2,2017,11,2,FA0059363,CATALINA'S SUPERMARKET,90029,91,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",HIGH RISK,OW0006548,CATALINA'S SUPERMARKET INC
DALGJQ6OG,2017,7,19,FA0136919,YOGURTLAND,90029,97,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0099676,"SO CAL FROZEN TREATS, LLC."
DALGOCAVB,2018,2,13,FA0054446,VONS MARKET #2655,90041,96,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",HIGH RISK,OW0038181,THE VONS COMPANIES INC.
DALGQCN0K,2017,6,22,FA0166113,LA MEXICANA SUPER MARKET,90003,93,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",HIGH RISK,OW0129306,PACOIMA KIM INC.
DALGS8HLV,2017,10,6,FA0071544,SUSHI STOP,90025,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0019608,KIMURA ENTERPRISE INC.
DALGTM9BO,2017,6,15,FA0053576,USC TOWN & GOWN,90089,97,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,HIGH RISK,OW0037009,USC
DALGV5RFT,2017,8,7,FA0058099,BBQ CHICKEN,90024,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0033294,SO SUNG H
DALGV5XFT,2018,3,6,FA0022892,LOUIE'S MARKET,90023,97,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0025257,MSL INVESTMENT INC
DALGWE9CU,2018,1,24,FA0025298,MOE'S FINE WINES,90049,99,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0001704,ADA GURUS INC
DALGXAQK5,2017,7,13,FA0038190,MAMOLOS CONTINENTAL BAKERY,90049,99,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0023112,"MAMOLO,UGO DBA"
DALGZE6ME,2016,6,8,FA0066314,MANDARIN EXPRESS,90056,91,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0021964,"LIU, CARL"
DALGZZWUS,2016,4,7,FA0004264,AROMA CAFE,90064,94,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0033196,"SLIPAC, ADEM"
DALHAIIAL,2017,12,11,FA0028989,IHOP,90025,100,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0005444,"BUNHOP, LLC"
DALHBPOPP,2017,2,21,FA0005596,ALOHA CAFE,90012,92,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0021064,"LEE FINANCIAL INVESTMENT, LL"
DALHCUAMC,2016,5,26,FA0006810,LA SIRENA FISH MARKET,90023,99,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",MODERATE RISK,OW0005654,MARIA CABRALES
DALHDDU0E,2016,3,9,FA0019146,DOMINO'S PIZZA,90007,99,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0023277,MAR PIZZA INC
DALHEHBOG,2016,5,12,FA0020497,LA BLANQUITA MARKET,90063,91,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",HIGH RISK,OW0030476,RODRIGUEZ-RAMIREZ FRANCISCO
DALHGZGLA,2018,2,14,FA0033478,LA NOCHE BUENA (KITCHEN),90012,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0012880,"GARCIA-CANO, GUILLERMO"
DALHJ3ZKP,2017,12,21,FA0004146,99 CENT OUTLET,90061,98,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0029194,"QUACH, ALEX"
DALHKUOA8,2017,1,11,FA0041176,NATURA SPORTS HEALTH CLUB,90010,96,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0034639,SWK ENTERPRISES INC
DALHLQO5M,2018,2,6,FA0055637,YABU RESTAURANT,90064,97,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0016887,"IKUNO, KIYUTAKA"
DALHP4ICN,2017,3,21,FA0031772,DINO'S BURGERS,90023,86,B,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0100363,DINO'S BURGERS L.A. LLC
DALHSJYMG,2018,3,12,FA0019850,DURANS MARKET,90011,87,B,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",HIGH RISK,OW0006583,CAYETANO GREGORIO
DALHXZSGR,2016,6,20,FA0138792,WINGSTOP #672,90061-1400,98,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0011603,"FAR WEST RESTAURANT GROUP, LLC."
DALHZDB7V,2016,10,28,FA0171307,STARBUCKS COFFEE #24005,90007,99,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,LOW RISK,OW0033938,STARBUCKS COFFEE CORPORATION
DALI1E31X,2017,10,19,FA0166346,NUMERO UNO RANCHO # 9,90001,93,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",HIGH RISK,OW0129508,YOUNG SOON LEE CHO
DALI30XLM,2016,4,27,FA0028456,"HIP WOO HONG, INC.",90012,96,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0015587,"HIP WOO HONG, INC."
DALI8CAXB,2016,5,10,FA0179181,DEL CID M.M. & R,90003-1841,97,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",HIGH RISK,OW0184775,PERLA MARINA DEL CID
DALIAA02D,2018,2,5,FA0024827,HAPPY SUSHI AND IZAKAYA,90064,91,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0100464,MATSUBA
DALIIIWWR,2016,4,19,FA0039594,VERNON MAIN PHARMACY,90037,98,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0003083,"ARNOLD,REGINALD"
DALIQU32N,2017,2,3,FA0068640,TA CHONG COMPANY,90029,94,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0038245,"VUONG,QUANG M"
DALIROGYV,2017,7,21,FA0226348,EL ZARAPE,90023-2433,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0230489,"EL ZARAPE BANQUETS AND CONVENTIONS, INC"
DALITQLEV,2017,9,19,FA0250414,ANGEL'S STORE,90057,94,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0244536,MARIA GUADALUPE RAMOS
DALITRAHE,2016,6,6,FA0054036,VICTORIA MARKET,90044,94,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",HIGH RISK,OW0009165,"CUELLAR, JOSE"
DALIZAZW2,2016,4,12,FA0072914,TRAVEL TRADERS #729,90045,100,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0036471,TRAVEL TRADERS HOTELS STORES
DALIZMRWH,2017,8,7,FA0034952,LA POTOSINA MEATS INC,90023,88,B,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",HIGH RISK,OW0025095,"MORENO, OSCAR"
DALIZTQJ1,2016,12,13,FA0059809,CHULADA GRILL EXPRESS,90019,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0031756,"SANTIAGO, GREGORIO"
DALIZXELZ,2018,3,22,FA0256940,EAST LA MARKET & LIQUOR,90033-3018,83,B,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0249529,MANPREET SINGH
DALJ05TSN,2016,4,27,FA0030779,RITE AID# 5441,90034,98,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0035897,"THRIFTY PAYLESS, INC"
DALJ0OO1O,2016,5,17,FA0022355,LIVING WATER,90006-2315,90,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0100576,CHOI IN OK
DALJ1IHLB,2016,12,27,FA0027139,ONE STOP LIQUOR,90011,99,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0006712,"CENTRAL LIQUOR & MARKET, INC"
DALJ6AHKD,2016,6,20,FA0062482,GABRIEL'S BURGERS #3,90001,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0023578,"MARTINEZ, GABRIEL"
DALJ79CZH,2016,8,12,FA0041429,NEW PANDA BUFFET,90016,97,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,HIGH RISK,OW0100335,FOUR ISLAND US INC.
DALJBNLCL,2017,12,6,FA0160369,MONARCAS MINI MARKET,90011,99,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0125333,CIRILO  MONTENEGRO
DALJCEBLC,2016,11,8,FA0138499,LA MEXICANA MEAT MARKET,90032,91,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",HIGH RISK,OW0101848,"GOLDEN IVY, INC."
DALJE7YQY,2016,10,28,FA0222990,SAVE A LOT #777,90044,99,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",HIGH RISK,OW0184822,"MORAN FOODS, LLC"
DALJEMK6K,2016,10,26,FA0021867,LETTE LITTLE TOKYO,90012,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,LOW RISK,OW0012574,GA YUN CHOI
DALJH6VNU,2017,1,10,FA0068263,PANDA KING,90037,90,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0033750,SOY VISAL
DALJIKZJZ,2017,12,19,FA0032922,KENTUCKY FRIED CHICKEN,90031,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0015078,HBS FOOD SERVICE INC.
DALJITVCI,2016,8,30,FA0043243,PAPER OR PLASTIK CAFE,90019,90,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0024415,"MICHELSON, JACOB"
DALJMESVR,2018,2,14,FA0021749,ELAT MEAT MARKET,90035,91,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",HIGH RISK,OW0008470,"COHEN, YORAU"
DALJNHY0A,2016,12,13,FA0049804,SUBWAY #45648,90010,98,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0030900,RPV BUSINESS VENTURE INC.
DALJNVWNX,2018,2,8,FA0038722,TRINITY BAPTIST CHURCH,90018,99,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0036542,TRINITY BAPTIST CHURCH
DALJOERHW,2016,5,25,FA0158722,LIQUOR BANK MEAT & MARKET,90043,98,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",HIGH RISK,OW0123770,"MY LIQUOR BANK & MARKET, INC."
DALJPBV9A,2017,12,4,FA0150967,ROTARY HOUSE,90013-2116,94,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0116702,VOLUNTEERS OF AMERICA
DALJRM1UT,2017,6,16,FA0248408,LA FIESTA BAKERY AND RESTAURANT,90062,97,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0242826,JAQUELINE LENNON
DALJSXGSY,2017,12,12,FA0167866,MEDIA SERVICES CAFE,90049,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0130833,MEDIA SERVICES CAFE LLC
DALJUIRE8,2016,12,20,FA0167118,BLAZE PIZZA,90007,96,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0130192,GATEWAY USC LLC
DALJULQOH,2016,11,17,FA0138193,RELAY S5344,90045,97,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0101584,"LS AND PARTNERS AT LAX, LLC"
DALJXBANZ,2017,10,30,FA0069540,RICKS FISH MARKET,90016,96,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",HIGH RISK,OW0021386,"LEE, SUN OK"
DALJXCO8Q,2017,5,23,FA0241810,COMMUNITY MINI MARKET,90003,91,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",MODERATE RISK,OW0237610,FREDIS EULALIO PACHECO
DALJXD0IL,2018,1,16,FA0170911,LEMONADE ON SAWTELLE,90025,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0021514,LEMONADE RESTAURANT GROUP LLC
DALJYUV0M,2016,12,28,FA0028696,PLACITA CAFE,90012,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0024101,"MEJIA, MARIA ISABEL"
DALK0D9QE,2017,8,11,FA0009387,BIG 5 SPORTING GOODS #352,90016,100,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0004673,BIG 5 CORP
DALK0XNFL,2017,7,5,FA0174151,YORK VALLEY MARKET,90042,90,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",HIGH RISK,OW0180854,MIGUEL MORENO
DALK1W7KS,2017,9,20,FA0180652,JIMMY JOHN'S,90007,98,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,MODERATE RISK,OW0127733,JIMMY JOHN'S ENTERPRISES LLC
DALK9GDM0,2016,10,14,FA0069853,ROYALE GROCERY & DELI,90028,99,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",MODERATE RISK,OW0028764,"POGSYAN, GAMLET"
